data_id,data_name,allocation_method,routing_heuristic,merge_strategy,allocation_time,allocation_bytes,route_time,route_bytes,merge_time,merge_bytes,distance,sum_pickers
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ABC_HEURISTIC,GREEDY,CLARKE_WRIGHT,0.3822855,57199472,0.0034545,695966,2.3637098,4010786663,878.0,10
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ABC_HEURISTIC,GREEDY,CLARKE_WRIGHT_HEURISTIC,0.3822855,57199472,0.0034321,696110,0.0024702,1605102,1360.0,8
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,ABC_HEURISTIC,GREEDY,NO_HEURISTIC,0.3822855,57199472,0.0038053,695918,0.0,0,3202.0,102
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,MESSAGE_PASSING,ASTAR_HEURISTIC,CLARKE_WRIGHT,8.5880315,137039191,0.0050197,1826910,2.7307902,4771519671,1218.0,7
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,MESSAGE_PASSING,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,8.5880315,137039191,0.0038491,1827070,0.0016548,1687758,1790.0,7
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,MESSAGE_PASSING,ASTAR_HEURISTIC,NO_HEURISTIC,8.5880315,137039191,0.0056321,1826910,0.0,0,4608.0,102
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,MESSAGE_PASSING,GREEDY,CLARKE_WRIGHT,8.5880315,137039191,0.0034192,696926,2.5722581,4485680791,1080.0,7
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,MESSAGE_PASSING,GREEDY,CLARKE_WRIGHT_HEURISTIC,8.5880315,137039191,0.004276,697102,0.0026874,1615822,1566.0,8
2,SLAPRP_Guo_small_O100_alpha0.2_v10.txt,MESSAGE_PASSING,GREEDY,NO_HEURISTIC,8.5880315,137039191,0.0033742,696958,0.0,0,4448.0,102
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ALS,ASTAR_HEURISTIC,CLARKE_WRIGHT,8.5697697,134300626,0.0041465,1850046,2.2798862,4055942773,840.0,6
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ALS,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,8.5697697,134300626,0.004746,1850174,0.0016888,1522542,1192.0,7
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ALS,ASTAR_HEURISTIC,NO_HEURISTIC,8.5697697,134300626,0.0053572,1849998,0.0,0,4390.0,101
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ALS,GREEDY,CLARKE_WRIGHT,8.5697697,134300626,0.0052448,693438,2.4197943,4133402581,814.0,6
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ALS,GREEDY,CLARKE_WRIGHT_HEURISTIC,8.5697697,134300626,0.0058434,693870,0.0026294,1544062,1296.0,7
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ALS,GREEDY,NO_HEURISTIC,8.5697697,134300626,0.0044451,693454,0.0,0,4134.0,101
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ABC,ASTAR_HEURISTIC,CLARKE_WRIGHT,0.4300118,56653511,0.0054871,1853790,2.2463859,3662598999,710.0,6
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ABC,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,0.4300118,56653511,0.0039069,1853966,0.0019513,1591374,1028.0,7
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ABC,ASTAR_HEURISTIC,NO_HEURISTIC,0.4300118,56653511,0.0058182,1853758,0.0,0,2632.0,101
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ABC,GREEDY,CLARKE_WRIGHT,0.4300118,56653511,0.0034816,685134,2.0641772,3510104821,532.0,6
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ABC,GREEDY,CLARKE_WRIGHT_HEURISTIC,0.4300118,56653511,0.0045396,685518,0.0036479,1469902,830.0,7
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ABC,GREEDY,NO_HEURISTIC,0.4300118,56653511,0.0033645,685134,0.0,0,2596.0,101
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,CLARKE_WRIGHT,0.4021722,57366864,0.0050657,1909726,2.3592548,3818549045,914.0,6
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,0.4021722,57366864,0.0049447,1909902,0.0025104,1636766,1356.0,7
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,NO_HEURISTIC,0.4021722,57366864,0.0041319,1909710,0.0,0,2954.0,101
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ABC_HEURISTIC,GREEDY,CLARKE_WRIGHT,0.4021722,57366864,0.0033316,687166,2.1413947,3600717493,708.0,6
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ABC_HEURISTIC,GREEDY,CLARKE_WRIGHT_HEURISTIC,0.4021722,57366864,0.0038331,687262,0.001506,1457150,1192.0,8
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,ABC_HEURISTIC,GREEDY,NO_HEURISTIC,0.4021722,57366864,0.0032721,687118,0.0,0,2950.0,101
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,MESSAGE_PASSING,ASTAR_HEURISTIC,CLARKE_WRIGHT,8.6414177,141584655,0.0060392,1997086,2.5765683,4612097221,1004.0,6
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,MESSAGE_PASSING,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,8.6414177,141584655,0.0042118,1997230,0.001626,1658142,1496.0,8
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,MESSAGE_PASSING,ASTAR_HEURISTIC,NO_HEURISTIC,8.6414177,141584655,0.0040835,1997118,0.0,0,4528.0,101
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,MESSAGE_PASSING,GREEDY,CLARKE_WRIGHT,8.6414177,141584655,0.0032556,692974,2.4875078,4380046769,914.0,6
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,MESSAGE_PASSING,GREEDY,CLARKE_WRIGHT_HEURISTIC,8.6414177,141584655,0.0033381,693118,0.0015234,1603470,1250.0,6
3,SLAPRP_Guo_small_O100_alpha0.2_v2.txt,MESSAGE_PASSING,GREEDY,NO_HEURISTIC,8.6414177,141584655,0.0040341,692990,0.0,0,4290.0,101
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ALS,ASTAR_HEURISTIC,CLARKE_WRIGHT,12.2419335,125160674,0.0041527,1970382,3.1492151,4805787351,1048.0,7
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ALS,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,12.2419335,125160674,0.0050524,1970446,0.002834,1669950,1694.0,7
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ALS,ASTAR_HEURISTIC,NO_HEURISTIC,12.2419335,125160674,0.0048665,1970350,0.0,0,4802.0,104
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ALS,GREEDY,CLARKE_WRIGHT,12.2419335,125160674,0.0049897,723774,2.6794541,4467779447,1116.0,7
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ALS,GREEDY,CLARKE_WRIGHT_HEURISTIC,12.2419335,125160674,0.0033164,724078,0.0179124,1587726,1576.0,7
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ALS,GREEDY,NO_HEURISTIC,12.2419335,125160674,0.0042728,723742,0.0,0,4530.0,104
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ABC,ASTAR_HEURISTIC,CLARKE_WRIGHT,0.3654769,56347191,0.0086578,1944126,2.3906528,4070053383,828.0,10
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ABC,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,0.3654769,56347191,0.0044727,1944254,0.0017989,1605022,1290.0,8
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ABC,ASTAR_HEURISTIC,NO_HEURISTIC,0.3654769,56347191,0.004201,1944142,0.0,0,2908.0,104
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ABC,GREEDY,CLARKE_WRIGHT,0.3654769,56347191,0.0031702,732350,2.3720443,4050419319,648.0,9
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ABC,GREEDY,CLARKE_WRIGHT_HEURISTIC,0.3654769,56347191,0.0047177,732798,0.0023951,1619518,1004.0,7
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ABC,GREEDY,NO_HEURISTIC,0.3654769,56347191,0.0034487,732446,0.0,0,2808.0,104
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,CLARKE_WRIGHT,0.3851641,56701744,0.0101976,1916078,2.4292069,4149600391,920.0,9
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,CLARKE_WRIGHT_HEURISTIC,0.3851641,56701744,0.0044036,1916254,0.0036041,1670750,1510.0,8
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ABC_HEURISTIC,ASTAR_HEURISTIC,NO_HEURISTIC,0.3851641,56701744,0.003812,1916030,0.0,0,3014.0,104
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ABC_HEURISTIC,GREEDY,CLARKE_WRIGHT,0.3851641,56701744,0.0037099,710286,2.2425481,3817893847,906.0,10
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ABC_HEURISTIC,GREEDY,CLARKE_WRIGHT_HEURISTIC,0.3851641,56701744,0.0032498,710446,0.0015806,1579358,1440.0,8
4,SLAPRP_Guo_small_O100_alpha0.2_v3.txt,ABC_HEURISTIC,GREEDY,NO_HEURISTIC,0.3851641,56701744,0.0033779,710270,0.0,0,3356.0,104
