data_id,data_name,do_abc,do_allocation,do_message_passing,do_cw,allocation_time,allocation_bytes,route_time,route_bytes,cw_time,cw_bytes,distance,sum_pickers
10,SLAPRP_Guo_small_O100_alpha0.2_v9.txt,false,true,false,true,240.0618617,516522204,0.0014692,702727,1.3844065,3143059927,526.0,6
11,SLAPRP_Guo_small_O100_alpha0.3_v1.txt,true,true,false,false,0.2070172,24397631,0.0013465,735655,0,0,1614.0,105
11,SLAPRP_Guo_small_O100_alpha0.3_v1.txt,true,true,false,true,0.2070172,24397631,0.0013465,735655,1.4818516,3498547271,226.0,6
11,SLAPRP_Guo_small_O100_alpha0.3_v1.txt,false,true,true,false,6.7883167,82528632,0.0013872,690295,0,0,1880.0,105
11,SLAPRP_Guo_small_O100_alpha0.3_v1.txt,false,true,true,true,6.7883167,82528632,0.0013872,690295,1.8117804,3536228599,280.0,6
11,SLAPRP_Guo_small_O100_alpha0.3_v1.txt,false,true,false,false,2.4853588,75976806,0.001474,673687,0,0,1738.0,105
11,SLAPRP_Guo_small_O100_alpha0.3_v1.txt,false,true,false,true,2.4853588,75976806,0.001474,673687,1.4533436,3459784055,294.0,6
12,SLAPRP_Guo_small_O100_alpha0.3_v10.txt,true,true,false,false,0.2096711,24448111,0.0014653,757959,0,0,1798.0,106
12,SLAPRP_Guo_small_O100_alpha0.3_v10.txt,true,true,false,true,0.2096711,24448111,0.0014653,757959,1.52798,3551830133,242.0,9
12,SLAPRP_Guo_small_O100_alpha0.3_v10.txt,false,true,true,false,7.3836721,118669966,0.0021188,738359,0,0,1796.0,106
12,SLAPRP_Guo_small_O100_alpha0.3_v10.txt,false,true,true,true,7.3836721,118669966,0.0021188,738359,1.3763214,3471203287,292.0,8
12,SLAPRP_Guo_small_O100_alpha0.3_v10.txt,false,true,false,false,38.2247832,113197372,0.0013319,687543,0,0,2480.0,106
12,SLAPRP_Guo_small_O100_alpha0.3_v10.txt,false,true,false,true,38.2247832,113197372,0.0013319,687543,1.4944682,3505198629,414.0,9
13,SLAPRP_Guo_small_O100_alpha0.3_v2.txt,true,true,false,false,0.2018005,24534303,0.0022381,717527,0,0,1746.0,106
13,SLAPRP_Guo_small_O100_alpha0.3_v2.txt,true,true,false,true,0.2018005,24534303,0.0022381,717527,1.4855275,3535705863,216.0,7
13,SLAPRP_Guo_small_O100_alpha0.3_v2.txt,false,true,true,false,16.9330795,95109074,0.0013526,731463,0,0,1836.0,106
13,SLAPRP_Guo_small_O100_alpha0.3_v2.txt,false,true,true,true,16.9330795,95109074,0.0013526,731463,1.4168218,3453571239,280.0,6
13,SLAPRP_Guo_small_O100_alpha0.3_v2.txt,false,true,false,false,4.7671675,88202160,0.0022325,705879,0,0,2602.0,106
13,SLAPRP_Guo_small_O100_alpha0.3_v2.txt,false,true,false,true,4.7671675,88202160,0.0022325,705879,1.505339,3640083621,416.0,6
14,SLAPRP_Guo_small_O100_alpha0.3_v3.txt,true,true,false,false,0.2061611,24373048,0.0018087,675911,0,0,1608.0,101
14,SLAPRP_Guo_small_O100_alpha0.3_v3.txt,true,true,false,true,0.2061611,24373048,0.0018087,675911,1.2948883,3161585543,228.0,7
14,SLAPRP_Guo_small_O100_alpha0.3_v3.txt,false,true,true,false,10.7232528,106494809,0.0012669,665687,0,0,1788.0,101
14,SLAPRP_Guo_small_O100_alpha0.3_v3.txt,false,true,true,true,10.7232528,106494809,0.0012669,665687,1.211885,3033784391,278.0,6
14,SLAPRP_Guo_small_O100_alpha0.3_v3.txt,false,true,false,false,3.233938,99845511,0.0020243,630167,0,0,2406.0,101
14,SLAPRP_Guo_small_O100_alpha0.3_v3.txt,false,true,false,true,3.233938,99845511,0.0020243,630167,1.6909253,3144057639,350.0,6
15,SLAPRP_Guo_small_O100_alpha0.3_v4.txt,true,true,false,false,0.2141334,24472728,0.001432,733079,0,0,1576.0,100
15,SLAPRP_Guo_small_O100_alpha0.3_v4.txt,true,true,false,true,0.2141334,24472728,0.001432,733079,1.1631655,2790729671,264.0,10
15,SLAPRP_Guo_small_O100_alpha0.3_v4.txt,false,true,true,false,197.2797948,635425649,0.0013097,668903,0,0,1700.0,100
15,SLAPRP_Guo_small_O100_alpha0.3_v4.txt,false,true,true,true,197.2797948,635425649,0.0013097,668903,1.1111801,2759480277,284.0,9
15,SLAPRP_Guo_small_O100_alpha0.3_v4.txt,false,true,false,false,301.3388242,629952351,0.0014362,732583,0,0,1978.0,100
15,SLAPRP_Guo_small_O100_alpha0.3_v4.txt,false,true,false,true,301.3388242,629952351,0.0014362,732583,1.2886793,3223031463,376.0,6
16,SLAPRP_Guo_small_O100_alpha0.3_v5.txt,true,true,false,false,0.2037567,24198751,0.0014411,746839,0,0,1832.0,105
16,SLAPRP_Guo_small_O100_alpha0.3_v5.txt,true,true,false,true,0.2037567,24198751,0.0014411,746839,1.5494478,3611844853,244.0,6
16,SLAPRP_Guo_small_O100_alpha0.3_v5.txt,false,true,true,false,7.3927732,94170962,0.0013935,746215,0,0,1864.0,105
16,SLAPRP_Guo_small_O100_alpha0.3_v5.txt,false,true,true,true,7.3927732,94170962,0.0013935,746215,1.4818309,3497312421,292.0,6
16,SLAPRP_Guo_small_O100_alpha0.3_v5.txt,false,true,false,false,6.5559669,87975824,0.0021338,709831,0,0,2278.0,105
16,SLAPRP_Guo_small_O100_alpha0.3_v5.txt,false,true,false,true,6.5559669,87975824,0.0021338,709831,1.4253806,3348123415,386.0,6
17,SLAPRP_Guo_small_O100_alpha0.3_v6.txt,true,true,false,false,0.2030312,24295839,0.0015806,792935,0,0,1834.0,103
17,SLAPRP_Guo_small_O100_alpha0.3_v6.txt,true,true,false,true,0.2030312,24295839,0.0015806,792935,1.4387149,3464466341,272.0,9
17,SLAPRP_Guo_small_O100_alpha0.3_v6.txt,false,true,true,false,58.8515177,674401570,0.0014792,775463,0,0,2012.0,103
17,SLAPRP_Guo_small_O100_alpha0.3_v6.txt,false,true,true,true,58.8515177,674401570,0.0014792,775463,1.3518763,3347900773,340.0,7
17,SLAPRP_Guo_small_O100_alpha0.3_v6.txt,false,true,false,false,59.2705489,668236528,0.0014454,758199,0,0,2636.0,103
17,SLAPRP_Guo_small_O100_alpha0.3_v6.txt,false,true,false,true,59.2705489,668236528,0.0014454,758199,1.5654676,3587307637,394.0,7
18,SLAPRP_Guo_small_O100_alpha0.3_v7.txt,true,true,false,false,0.20018,24453743,0.0015329,777623,0,0,1722.0,104
18,SLAPRP_Guo_small_O100_alpha0.3_v7.txt,true,true,false,true,0.20018,24453743,0.0015329,777623,1.4156637,3440071335,256.0,6
18,SLAPRP_Guo_small_O100_alpha0.3_v7.txt,false,true,true,false,23.0615925,94926642,0.0015145,748343,0,0,1880.0,104
18,SLAPRP_Guo_small_O100_alpha0.3_v7.txt,false,true,true,true,23.0615925,94926642,0.0015145,748343,1.7324207,3435580149,264.0,7
18,SLAPRP_Guo_small_O100_alpha0.3_v7.txt,false,true,false,false,3.3989274,87750368,0.001493,730183,0,0,2658.0,104
18,SLAPRP_Guo_small_O100_alpha0.3_v7.txt,false,true,false,true,3.3989274,87750368,0.001493,730183,1.4978521,3606686821,418.0,7
19,SLAPRP_Guo_small_O100_alpha0.3_v8.txt,true,true,false,false,0.2030667,23874303,0.0024579,791975,0,0,1920.0,103
19,SLAPRP_Guo_small_O100_alpha0.3_v8.txt,true,true,false,true,0.2030667,23874303,0.0024579,791975,1.3879873,3464481861,288.0,7
19,SLAPRP_Guo_small_O100_alpha0.3_v8.txt,false,true,true,false,3.4234814,82081304,0.0014556,715975,0,0,1942.0,103
19,SLAPRP_Guo_small_O100_alpha0.3_v8.txt,false,true,true,true,3.4234814,82081304,0.0014556,715975,1.450529,3418621349,314.0,7
19,SLAPRP_Guo_small_O100_alpha0.3_v8.txt,false,true,false,false,142.698172,79946838,0.001527,766647,0,0,2002.0,103
19,SLAPRP_Guo_small_O100_alpha0.3_v8.txt,false,true,false,true,142.698172,79946838,0.001527,766647,1.4374987,3572371957,338.0,7
20,SLAPRP_Guo_small_O100_alpha0.3_v9.txt,true,true,false,false,0.2003651,24289695,0.0014321,731191,0,0,1806.0,102
20,SLAPRP_Guo_small_O100_alpha0.3_v9.txt,true,true,false,true,0.2003651,24289695,0.0014321,731191,1.2997074,3237502423,266.0,7
20,SLAPRP_Guo_small_O100_alpha0.3_v9.txt,false,true,true,false,2.9736558,602929748,0.0013468,708759,0,0,1758.0,102
20,SLAPRP_Guo_small_O100_alpha0.3_v9.txt,false,true,true,true,2.9736558,602929748,0.0013468,708759,1.2770436,3041840261,300.0,7
20,SLAPRP_Guo_small_O100_alpha0.3_v9.txt,false,true,false,false,158.1854494,599653490,0.0014235,683239,0,0,3446.0,102
20,SLAPRP_Guo_small_O100_alpha0.3_v9.txt,false,true,false,true,158.1854494,599653490,0.0014235,683239,1.3051306,3147464519,442.0,6
21,SLAPRP_Guo_small_O100_alpha0.4_v1.txt,true,true,false,false,0.2173958,24361272,0.0022105,738471,0,0,1824.0,105
21,SLAPRP_Guo_small_O100_alpha0.4_v1.txt,true,true,false,true,0.2173958,24361272,0.0022105,738471,1.4838521,3559151893,260.0,6
21,SLAPRP_Guo_small_O100_alpha0.4_v1.txt,false,true,true,false,301.1723704,668368093,0.0013664,706967,0,0,1844.0,105
21,SLAPRP_Guo_small_O100_alpha0.4_v1.txt,false,true,true,true,301.1723704,668368093,0.0013664,706967,1.4545396,3399885383,296.0,6
21,SLAPRP_Guo_small_O100_alpha0.4_v1.txt,false,true,false,false,11.2777112,654430427,0.0014303,686183,0,0,2664.0,105
21,SLAPRP_Guo_small_O100_alpha0.4_v1.txt,false,true,false,true,11.2777112,654430427,0.0014303,686183,1.4177907,3436107717,396.0,6
22,SLAPRP_Guo_small_O100_alpha0.4_v10.txt,true,true,false,false,0.2012495,24542696,0.001209,644695,0,0,1616.0,100
22,SLAPRP_Guo_small_O100_alpha0.4_v10.txt,true,true,false,true,0.2012495,24542696,0.001209,644695,1.1722437,2899680981,212.0,6
22,SLAPRP_Guo_small_O100_alpha0.4_v10.txt,false,true,true,false,7.8250968,82831153,0.0010913,620775,0,0,1460.0,100
22,SLAPRP_Guo_small_O100_alpha0.4_v10.txt,false,true,true,true,7.8250968,82831153,0.0010913,620775,1.1167889,2806695847,226.0,6
22,SLAPRP_Guo_small_O100_alpha0.4_v10.txt,false,true,false,false,2.8357394,76123711,0.0014737,623287,0,0,1634.0,100
22,SLAPRP_Guo_small_O100_alpha0.4_v10.txt,false,true,false,true,2.8357394,76123711,0.0014737,623287,1.4545077,2916953237,282.0,8
23,SLAPRP_Guo_small_O100_alpha0.4_v2.txt,true,true,false,false,0.2114301,24296376,0.002476,745575,0,0,1712.0,104
23,SLAPRP_Guo_small_O100_alpha0.4_v2.txt,true,true,false,true,0.2114301,24296376,0.002476,745575,1.5194755,3376384439,230.0,8
23,SLAPRP_Guo_small_O100_alpha0.4_v2.txt,false,true,true,false,6.5950309,94409323,0.0013859,738135,0,0,1868.0,104
23,SLAPRP_Guo_small_O100_alpha0.4_v2.txt,false,true,true,true,6.5950309,94409323,0.0013859,738135,1.4170535,3384948327,292.0,7
23,SLAPRP_Guo_small_O100_alpha0.4_v2.txt,false,true,false,false,5.1691728,87987481,0.0015399,722071,0,0,2548.0,104
23,SLAPRP_Guo_small_O100_alpha0.4_v2.txt,false,true,false,true,5.1691728,87987481,0.0015399,722071,1.4186401,3371327797,390.0,10
24,SLAPRP_Guo_small_O100_alpha0.4_v3.txt,true,true,false,false,0.2016645,24371896,0.0021054,668215,0,0,1608.0,101
24,SLAPRP_Guo_small_O100_alpha0.4_v3.txt,true,true,false,true,0.2016645,24371896,0.0021054,668215,1.3037922,3077441189,248.0,6
24,SLAPRP_Guo_small_O100_alpha0.4_v3.txt,false,true,true,false,56.013831,95738219,0.0013035,685463,0,0,1798.0,101
